views_int,views,ai_comment_mentions,comments_scanned,comments,norwegian_score,title,channel,channel_country,default_language,default_audio_language,url,duration,upload_date,found_by_queries,norwegian_reasons,norwegian_markers_found,ai_markers_in_metadata,subscribers,channel_video_count,comment_scan_error,ai_comment_texts
6800333,6800333,6,2117,2772,14,Herman Lie | Wicked Game (Chris Isaak) | Blind auditions | The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/x-zGL8SzqjM,2:21,2025-01-10T21:00:51Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"Timing parfait j'ai écouté le podcast sur Aliénor d'Aquitaine dans ma voiture cet aprem et, trouvant  cette cover géniale... Je la cherche et elle a été postée a l'instant 

Question cependant : ce n' est pas l'intégralité de la version entendue dans l'émission, moyen de la trouver ? || Meilleure ""stay"" que j'ai entendu. J'avais vu en live et je revois en 2025 :). || this is fake || J'ai envie que la chanson continue et qu'elle ne s'arrete pas...Wouah mais quel talent et qu'elle sublime voix 😍😍😍🤩🤩🤩 || Quel voix. Cela fais longtemps que je n'ai pas entendu une si joile voix. || Is it AI?? 😮 😅❤"
5571660,5571660,6,1321,1862,14,Kristina Moe Hals | Writings On The Wall (Sam Smith) | Knockout | The Voice Norway 2024,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/OHD0swef490,2:32,2024-04-05T20:00:08Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"That fake smile from yousef so annoying || Why is that black man always fake smiling? || Cum trec peste o noapte fără tine
Dacă ar trebui să trăiesc fără tine
Ce fel de viață ar fi aceea
O, am nevoie de tine în brațe, am nevoie să mă țin
Ești lumea mea, inima mea, sufletul meu
Dacă ai pleca vreodată
Ei bine, iubito, mi-ai lua tot ce e bun
În viața mea
Și spune-mi acum
Cum trăiesc fără tine?
Vreau să știu
Cum respir fără tine?
Dacă pleci vreodată
Cum aș putea supraviețui vreodată
Cum, cum aș putea, oh, cum aș putea trăi
Fără tine
Nu ar mai fi soare pe cerul meu
Nu ar mai fi iubire în viața mea
Nu ar mai fi nicio lume pentru mine
Și eu, ei bine, iubito, nu știu ce aș face
Aș fi pierdut dacă te-aș pierde
Dacă pleci vreodată
Ei bine, iubito, mi-ai lua totul
Real în viața mea
Și spune-mi acum
Cum aș trăi fără tine
Vreau să știu
Cum aș respira fără tine
Dacă pleci vreodată
Cum aș putea supraviețui vreodată
Cum aș putea, cum aș putea, oh, cum aș trăi
Te rog, spune-mi, iubito, cum aș merge mai departe
Dacă pleci vreodată
Ei bine, iubito, mi-ai lua totul
Am nevoie de tine cu mine
Iubito, nu știi că ești totul
Bun în viața mea
Și spune-mi acum
Cum aș trăi fără tine
Vreau să știu
Cum aș respira fără tine
Dacă pleci vreodată
Cum aș putea supraviețui vreodată
Cum aș putea, cum Cum trăiesc, oh, cum trăiesc?
Cum trăiesc fără tine?
Cum trăiesc fără tine, iubito?
Cum trăiesc? || Je suis littéralement envoûté par cette voix et sa tête de petit chat. Quel don du ciel a cette jeune fille. Dommage que nous n ayons pas les commentaires des juges à la fin. || Je regarde cela de France et je n'ai jamais entendu une aussi jolie voix une si belle interprétation de loin la plus belle the voice . Elle aurait dû gagner sans conteste || Já ganhou! algum Br ai? kk"
4923730,4923730,0,0,0,4,Frozen the Musical | Let It Go (Norwegian | snippet) Lyrics & Translation,FlamSparks,SE,en,zxx,https://www.youtube.com/shorts/ifCkw5uz6I8,0:57,2023-10-30T14:00:26Z,norsk; norske,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; norske; å,,203000,755,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
4670976,4670976,5,1312,1671,14,"Olivia Gnananantham Husabø | lovely (Billie Eilish, Khalid) | Blind auditions |The Voice Norway 2025",The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/06AGfpZXynE,2:05,2025-01-03T21:00:00Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"I have a suspicion. Norway used some kind of AI to autotune immediately, on a live performance. Ok ne participant even faked it. He hid his mouth with a microphone.. but ...overall The voice Norway has some of the best performances ever. || Elle s'appelle comme moi en plus mais j'ai pas la même voix mais ça va aussi 😂❤😊 || 1:20 J’ai jamais entendu ça de ma vie, et pourtant j’en ai entendu… c’est si envoutant et angélique. 👏👏 || Continue, on te suit même en France. L’une des plus belles voix que j’ai jamais écouté. Une merveille de la nature. || Jen ai vu beaucoup des gens passé depuis ses 20 dernières années dans ses émissions mais la franchement j'ai jamais un truc 
Pareil aussi jeune ses complètement dingue et hors norme 😱😱😱😱😱😱😱😱😱😱"
3556064,3556064,0,6,8,8,Norway in a Nutshell® - Norway's most popular tour,Fjord Tours | Home of Norway in a Nutshell®,NO,en,en-US,https://www.youtube.com/shorts/_WNW50c9_Pk,1:11,2023-12-14T10:45:03Z,Norge,channel_country=NO; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å; ø,,658,18,,
3505073,3505073,9,1228,2360,6,Two Norwegians #funny #nordics #norway #language,Ólafur Waage,NO,en,en,https://www.youtube.com/shorts/8FEHsdWVMA4,0:29,2024-01-24T18:21:15Z,Norge,channel_country=NO; found by broad Norway/Norwegian seed query,,,276000,403,,"This is extremely fake. No Norwegian would say this, they would just teach you the one they subscribe to and if it comes up treat the other one like an inferior version that shouldn't exist. || There are two written languages; bokmål and nynorsk. Nynorsk is a synthetic language, constructed so it's written more similar to spoken Norwegian dialects, while bokmål is very similar to written Danish. Nynorsk is only used by 10-15% of the population. || Dialects enters the chat* || English enters the chat. || Dialects left the chat || 70 types of old English has entered the chat || This short left me baffled. A friend from Norway sent me this explanation:
""Hah. Accurate, lol. New Norwegian is a synthetic language that's the average of all the old dialects in the far reaches of Norway. In school you have to learn both. On top of English 😅. Book Norwegian is what's spoken around the capital which is maybe where 50% of Norwegians live, but is basically just Danish in writing. In the old days Oslo was economically kinda just a trading outpost (and a type of cultural satellite) of Denmark, but the far-reaches of Norway had no relationship with Denmark.
Then there's Icelandic, with is actually just really old Norwegian frozen in time. But ""mainland Norwegian"" (if there is such a thing) has changed so much that Norwegians no longer understand Icelandic at all, even though they're speaking Norwegian from about a 1000 years ago.
What a mess."" || As a Norwegian who speaks/writes Bokmål, when I try to say or write something in Nynorsk (fake Norwegian), it comes out as Swedish. 

Rädda Joppe, död eller levande! || Yeah! Blame Denmark! Sweden has left the chat!"
3213097,3213097,3,1148,1561,13,Kristina og Marthe | i love you (Billie Eilish) | Battles | The Voice Norway 2024,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/Hij1lIAmqnc,2:26,2024-03-01T21:00:09Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; ø,,386000,1392,,"It's AI. || Ai que linda essa música, eu amei. || Ma préférence est : Les deux, car j'ai du mal à distinguer les deux voix 🔥🔥"
3001968,3001968,4,3617,5879,6,Nordic 101 #nordics #funny #iceland #denmark #sweden #norway #finland,Ólafur Waage,NO,en,en,https://www.youtube.com/shorts/SAvdH5rYPE8,0:53,2024-04-28T11:26:32Z,Norge; Norway; norsk,channel_country=NO; found by broad Norway/Norwegian seed query,,,276000,403,,"I love how he’s doing the fake advertisement for Greenland like how they did in ancient times || How dare you call IKEA ""AI KI AH"", I've gotten goosebumps... || Fake, Norway isn't real. || Fake. True nordics, know we hate sweden."
2997145,2997145,1,575,779,14,Ingeborg Ruud | THE GREATEST (Billie Eilish) | Blind auditions | The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/0KcPmRGjONw,2:18,2025-01-17T21:00:00Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,So annoying the judge at the end looks like she's trying to make her mind up all fake like that... Like you know she's the greatest... Stop putting on a show
2938393,2938393,2,1015,1501,14,Lavrans Svendsen | Human (Rag'n'Bone Man) | Blind auditions | The Voice Norway 2024,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/EqH4c0qIRh4,2:20,2024-02-09T21:00:07Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"Thank you. 

AI 😂😂😂 || Their voice soinds like AI. It's amazing."
2696142,2696142,0,1007,1324,14,Oda Jonetta Joberg | Helium (Sia) | Knockout | The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/d34EsXWaz-w,2:13,2025-04-25T20:00:22Z,Norge; Norway,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,
2560443,2560443,1,221,416,6,Norwegians are build different! #hiking #friluftsliv #norway,Become Norwegian,NO,en,,https://www.youtube.com/shorts/yGClUT7WmoU,0:08,2025-09-20T10:52:58Z,Norge,channel_country=NO; found by broad Norway/Norwegian seed query,,,5610,70,,"Pourquoi les norvégiens seulement?
Je suis française et j'ai fait la même chose avec mes 2 enfants, qui n'ont d'ailleurs jamais posé leurs fesses dans une poussette 😉"
2500418,2500418,5,673,832,10,Agree?🤔🇳🇴❄️ #norway #norwaytravel #norge #weather #winter ##travel #explorenorway #cold #zia #shorts,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/2kf___nt_1Q,0:18,2025-10-11T06:19:48Z,Norge; Norway; norske,channel_country=NO; defaultLanguage=no; found by broad Norway/Norwegian seed query,,,17300,976,,"Ai am from Norway and this is real || Ai em en Alfa wit risler || It's fake || ⚠️ ALERT PLEASE, READ ⚠️ If you see a person with a profile picture with a cat among pillows or some woman, do not click and if there is a button or clanker, quickly report these BOTs or clankers. Don’t like or reply, if you want to reply just type “CLANKER” or “BOT”. They should be banned because children can see and be traumatized, or their parents catch them seeing this. Now copy this and use it in other videos like I’m going to do || If I get 100 likes I'm gay 

































































I'm not a bot"
2360480,2360480,1,283,509,3,Highlights | Iraq 1-4 Norway | FIFA World Cup 2026™,FIFA,CH,en,en,https://www.youtube.com/shorts/UzSswKnmpgk,2:11,2026-06-18T00:30:08Z,Norge; Norway,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å; ø,,29900000,14583,,waoo fifa faked this video-- thats the crowedfrom ullevål oslo - norway 2026. no wonder - fifa dont like empy seats lik it was - so lets fake this.. how bad is that
2239750,2239750,0,98,139,19,Hæljetur MUSIKKVIDEO l DJ MøMø feat. Hagle | Bukkene Bruse på Badeland,Nordisk Film Norge,NO,no,no,https://www.youtube.com/shorts/n4UnHTRE3KQ,1:57,2023-12-15T08:02:20Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; dette; du; følg; ikke; med; norge; og; på; til; å; æ; ø,,28400,738,,
2224963,2224963,2,1787,2322,13,"Simone Haaland vs. Victoria Spandow | Best Part(Daniel Caesar, H.E.R)|Battles |The Voice Norway 2025",The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/sAPUln9L7xA,2:38,2025-03-21T21:00:52Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; ø,,386000,1392,,"waou magnifique !!! quel duo, j'ai des frissons de bonheur dès que je l'entend 😍😍😍😍😍😍😍😍😍😍 || [Intro: H.E.R.]
Oh… hey

[Verso 1: H.E.R.]
No lo sabes, amor
Cuando me abrazas
Y me besas lento
Es lo más dulce que hay
Y no cambia
Si fuera por mí
Ya sabrías que tú eres


[Pre-Coro: H.E.R.]
Eres el café que necesito en la mañana
Eres mi sol cuando el cielo se desploma
¿No quieres entregarte a mí?
Todo, oh

[Coro: H.E.R. & Daniel Caesar]
Solo quiero ver
Solo quiero ver lo hermosa que eres
Sabes que lo veo, sé que eres una estrella
A donde vayas te sigo, sin importar la distancia
Si la vida es una película, tú eres la mejor parte, uh
Eres la mejor parte, uh
La mejor parte

[Verso 2: Daniel Caesar]
Eres ese amanecer
Y esos ojos color miel
Eres lo único que deseo
Cuando despertamos
Y hacemos el amor
Me haces sentir tan bien

[Pre-Coro: Daniel Caesar]
Eres mi agua en pleno desierto
Eres mi alivio cuando el dolor me muerde
Eres la luz en mi existir

[Coro: Daniel Caesar & H.E.R.]
Solo quiero ver lo hermosa que eres
Sabes que lo veo, sé que eres una estrella
A donde vayas te sigo, sin importar la distancia
Si la vida es una peli, tú eres la mejor parte, oh
Eres la mejor parte, uh
La mejor parte

[Outro: Daniel Caesar & H.E.R.]
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
¿No vas a...?
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
Amarme, ¿no vas a...?
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
Amarme, ¿no vas a...?
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
Si me amas, dímelo, ¿sí?
Si me amas, ¿no vas a...?
Amarme, ¿no vas a...?"
2072382,2072382,0,3,6,10,For oss alle | Coca-Cola Norge 100 år,Coca-Cola,US,no,en-US,https://www.youtube.com/shorts/RAHugAJHbVs,0:30,2026-04-28T13:38:57Z,Norge,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; du; med; norge; norsk; norske; og; å; æ; ø,,4800000,884,,
2055348,2055348,5,1057,1547,14,Lavrans Svendsen | Another Love (Tom Odell) | LIVE | The Voice Norway 2024,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/e2322HXuPr4,2:22,2024-05-12T12:27:48Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"Almost everybody who participates in these kinds of shows and reaches first place will be forgotten within a year. The producers will exploit this man to the fullest, and when his success fades, they'll abandon the winners.
If you truly possess talent, you don't need these kinds of pathetic shows because the rest are fake, and especially the creepy people who make millions from them will have the last laugh. Remember, if this man is no longer interesting, almost no producer in this world will allow him to make a sequel because he's a risk, and you can perform at weddings and cafes to at least make some money. || J'ai des frissons quand j'entends sa voix || This guy has some potential but he's so dramatic and fake.... he pretends to be someone he's not - and he's so about his look (narcissist?). I'm stunned that he went that high and was the 2nd in the whole competition. || Siempre veo los videos de Lavrans, porque para mi el es el mejor me encanta como canta pero he visto comentarios donde dicen que el no es el ganador, pero quien fue el que ganó?? || This person needs to chat with U2"
1826395,1826395,6,1029,1301,5,Norwegian kids are truly a different beast #Shorts,Maddie Borge,GB,no,en,https://www.youtube.com/shorts/0WjqtWsw-v4,0:47,2024-12-30T12:31:36Z,norsk; norske,defaultLanguage=no; found by broad Norway/Norwegian seed query,,,1110000,1024,,"I live in norway, this is fake as shit || Dreckige KI stimmen || **Colorado kids have entered the chat** || Um that fake im Norwegian and im really bad at skiing 🤓👆 || Austria has entered the chat…. || Colorado enters the chat"
1662510,1662510,1,551,697,14,Marlen Tjøsvoll | Halo (Beyoncé) | Knockout | The Voice Norway 2025,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/BZuh_FnmyXI,2:33,2025-04-11T20:00:16Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; og; å; ø,,386000,1392,,"oui pour moi, même si j'ai supprimer l'autre jour, il faut un choix. Mais qui choisi les personnes ? la team ?"
